letter,date,datestart,dateend,cicero_location,pleiades_cicero_loc_id,sender,correspondent,Correspondent location,pleiades_correspondent_loc_id,Correspondent's Transient Location,pleiades_correspondent_transient_loc_id,Other Personal Names,Inferred Names,Slaves and Freed People,Literary/Historical References,Other Locations in Letter,pleiades_other_letter_id,Peoples of a Nation,pleiades_peoples_id
Fam. 15.4,January 50 BCE,-1.1.50,-1.31.50,Tarsus,648789,Cicero,M. Porcus Cato Uticensis,Rome,423025,,,M. Anneius; Deiotarus of Galatia; Ariobarzanes III; Athenais Philostorgos II; Metras; Athenaeus; Marcus Calpurnius Bibulus; Quintus Tullius Cicero; C. Pomptinus; L. Tullius; T. Annius Milo,Antiochus I Theos (Dikaios Epiphanes Philorhomaios Philhellen) of Commagene; P. Cornelius Lentulus Spinther,,,Laodicea; Apamea; Synnada; Philomelum; Iconium; Lycaonia; Cilicia; Commagene; Cappadocia; Cybistra; Syria; Mt. Amanus; Mount Taurus; Asia; Antioch; Epiphanea; Sepyra; Commoris; Altars of Alexander (near Issus); Pindenissus; Eleutherocilices; Erana; Cyprus,897792; 897711; 609538; 609501; 648647; 982262; 628957; 658443; 628949; 648614; 845004; 658376; 649792; 991380; 658381; 707439; 662211; 662154; 658490; 662197; eleutherocilicum unknown (Pindenissus); 662159; 981516,Parthians; Arabs; inhabitants of Tebara,952097; 29475; tebara unknown
Fam. 15.5,April 13; 22 50 BCE,-4.13.50,-4.22.50,Rome,423025,M. Porcus Cato Uticensis,Cicero,Cilicia,628957,,,Ariobarzanes III,,,,,,,
Fam. 15.6,end of July 50 BCE,-8.20.50,-8.31.50,Tarsus,648789,Cicero,M. Porcus Cato Uticensis,Rome,423025,,,,,,Hector; Cn. Naevius,,,,
Fam. 15.7,early September 51 BCE,-9.3.51,-9.15.51,Iconium and Cybistra/ Lycaonia?,648698,Cicero,C. Claudius Marcellus Minor,Rome,423025,,,,C. Claudius Marcellus; Junia,,,,,,
Fam. 15.8,early September 51 BCE,-9.3.51,-9.15.51,Iconium and Cybistra/ Lycaonia?,648698,Cicero,C. Claudius Marcellus,Rome,423025,,,C. Claudius Marcellus Minor; Junia,,,,,,,
Fam. 15.9,early September 51 BCE,-9.3.51,-9.15.51,Iconium and Cybistra/ Lycaonia?,648698,Cicero,M. Claudius Marcellus,Rome,423025,,,C. Claudius Marcellus Minor,,,,,,Parthians,952097
Fam. 15.10,January 50 BCE,-1.1.50,-1.31.50,Tarsus,648789,Cicero, C. Claudius Marcellus Minor,Rome,423025,,,Marcelli; Marcellini,C. Claudius Marcellus; M. Claudius Marcellus; P. Cornelius Lentulus Marcellinus; P. Cornelius Lentulus Marcellinus Minor; Cn. Cornelius Lentulus Marcellinus,,,,,,
Fam. 15.11,late July 50 BCE,-7.15.50,-7.31.50,Tarsus,648789,Cicero, C. Claudius Marcellus Minor,Rome,423025,,,,C. Claudius Marcellus,,,,,,
Fam. 15.12,early September 51 BCE,-9.3.51,-9.15.51,Iconium and Cybistra/ Lycaonia?,648698,Cicero,L. Aemilius Lepidus Paullus,Rome,423025,,,,,,,,,,
Fam. 15.13,January 50 BCE,-1.1.50,-1.31.50,Tarsus,648789,Cicero,L. Aemilius Lepidus Paullus,Rome,423025,,,,,,,,,,
Fam. 15.14,October 13; 15 51 BCE,-10.13.51,-10.15.51,Altars of Alexander/Issus,658490,Cicero,C. Cassius Longinus,Syria,845004,,,M. Fadius Gallus; L. Aemilius Lepidus Paullus; C. Scribonius Curio; Marcus Junius Brutus; C. Furnius,Q. Cassius Longinus,,,Rome,423025,,
Fam. 15.15,August 47 BCE,-8.1.47,-8.31.47,Brundisium,442509,Cicero,C. Cassius Longinus,Rhodes,590031,,,Pharnaces II of Pontus; C. Julius Caesar,,,,Africa; Asia; Achaia; Battle at Pharsalia; Alexandrian War; italy; Luceria,775; 991380; 573049; 541042; 59669; 1052; 442640,,
Fam. 15.16,mid January 45 BCE,-1.13.45,-1.18.45,Rome,423025,Cicero,C. Cassius Longinus,Brundisium,442509,,,Catius the Insubrian,C. Julius Caesar,,Epicurus; Democritus,Isle of Britian,20419,Gargettian; Insubrian,579935; 383678
