Source,Target,type,id,mention,Weight,who
34,13,Directed,231,mentioned,1,Cn. Plancius
34,175,Directed,232,inferred,1,L. Domitius Ahenobarbus
34,206,Directed,233,inferred,1,L. Cornelius Lentulus Crus
35,207,Directed,234,inferred,1,Porcia
35,208,Directed,235,inferred,1,Aemilia Lepida
36,209,Directed,236,mentioned,1,Spurius Maecius Tarpa
36,210,Directed,237,mentioned,1,Aesop
36,17,Directed,238,mentioned,2,Pompey
36,211,Directed,239,mentioned,1,L. Gallus Caninus
36,212,Directed,240,mentioned,1,T. Munatius Plancus Bursa
36,113,Directed,241,mentioned,1,Clodius
36,111,Directed,242,inferred,1,Milo
36,17,Directed,243,inferred,1,Pompey
36,213,Directed,244,mentioned,1,Juba I of Numidia
36,206,Directed,245,mentioned,1,L. Cornelius Lentulus Crus
36,214,Directed,246,mentioned,1,C. Claudius Marcellus Maior
36,37,Directed,247,inferred,1,Caesar
36,103,Directed,248,mentioned,1,L. Scribonius Libo
37,38,Directed,249,mentioned,1,C. Trebatius Testa
37,17,Directed,250,mentioned,1,Pompey
37,189,Directed,251,mentioned,1,L. Cornelius Balbus
37,111,Directed,252,mentioned,1,Milo
37,33,Directed,253,mentioned,1,Q. Lepta
37,215,Directed,254,inferred,1,C. Rabirius Postumus
38,37,Directed,255,mentioned,9,Caesar
38,189,Directed,256,mentioned,5,L. Cornelius Balbus
38,91,Directed,257,mentioned,3,Quintus
38,216,Directed,258,mentioned,1,Vacerra
38,217,Directed,259,mentioned,1,Manilius
38,218,Directed,260,mentioned,2,Q. Cornelius Maximus
38,219,Directed,261,mentioned,1,Precianus
38,153,Directed,262,mentioned,2,Cn. Octavius
38,216,Directed,263,inferred,1,Vacerra
38,220,Directed,264,mentioned,1,D.Laberius
38,221,Directed,265,mentioned,1,Valerius
38,194,Directed,266,mentioned,1,C. Vibius Pansa
38,222,Directed,267,mentioned,1,Selius
38,223,Directed,268,mentioned,1,Cyrus
38,224,Directed,269,mentioned,1,Chrysippus Vettius
38,225,Directed,270,mentioned,1,C. Matius
38,105,Directed,271,inferred,1,Ptolemy XII Auletes
38,226,Directed,272,mentioned,1,M. Aemilius Philemon
38,227,Directed,273,mentioned,1,L. Arruntius
38,228,Directed,274,mentioned,1,Q. Caecilius Bassus
38,229,Directed,275,mentioned,1,Sextus Fadius
38,71,Directed,276,mentioned,1,P. Silius Nerva
38,55,Directed,277,mentioned,1,Marcus Junius Brutus
38,230,Directed,278,mentioned,1,Aulus Ofilius
38,231,Directed,279,inferred,1,Turpilia
38,124,Directed,280,mentioned,1,Q. Mucius Scaevola
39,232,Directed,281,mentioned,1,Damasippus
39,233,Directed,282,mentioned,1,Q. Caecilius Metellus Scipio
39,234,Directed,283,mentioned,1,Licinia
39,237,Directed,284,mentioned,1,L. Cassius Longinus
39,236,Directed,285,mentioned,1,Curtius Nicas
39,235,Directed,286,mentioned,1,Dexius
39,85,Directed,287,mentioned,1,Tullia
39,238,Directed,288,mentioned,1,Tigellius
39,37,Directed,289,mentioned,1,Caesar
39,239,Directed,290,mentioned,1,C. Licinius Macer Calvus
